DATE & TIME:	Thu Feb 22 11:40:51 2024
TEST:		TENSILE
MATERIAL:	STEEL
NAME:		steel_first_try


Msr#	F(Kn)	dL(mm)

001	00.0	00.00
002	00.0	00.00
003	00.0	00.00
004	00.0	00.00
005	00.0	00.00
006	00.0	00.00
007	00.0	00.00
008	00.0	00.00
009	00.0	00.00
010	00.0	00.00
011	00.0	00.00
012	00.0	00.00
013	00.0	00.00
014	00.0	00.00
015	00.0	00.01
016	01.6	00.02
017	01.7	00.01
018	01.9	00.02
019	02.1	00.02
020	02.4	00.02
021	02.5	00.03
022	02.9	00.03
023	03.1	00.03
024	03.4	00.04
025	03.7	00.05
026	04.0	00.05
027	04.3	00.05
028	04.4	00.05
029	04.8	00.07
030	05.0	00.07
031	05.3	00.08
032	05.6	00.08
033	05.9	00.08
034	06.3	00.09
035	06.6	00.10
036	06.9	00.12
037	07.2	00.12
038	07.5	00.13
039	07.8	00.13
040	08.1	00.13
041	08.4	00.15
042	08.9	00.17
043	09.1	00.18
044	09.3	00.19
045	09.6	00.20
046	10.0	00.21
047	10.4	00.21
048	10.6	00.22
049	10.9	00.23
050	11.3	00.25
051	11.6	00.28
052	11.7	00.29
053	12.0	00.31
054	12.3	00.32
055	12.7	00.33
056	13.1	00.35
057	13.4	00.37
058	13.8	00.39
059	14.3	00.43
060	14.4	00.46
061	14.7	00.48
062	15.0	00.50
063	15.3	00.51
064	15.5	00.52
065	15.8	00.54
066	16.0	00.55
067	16.3	00.57
068	16.5	00.61
069	16.6	00.64
070	16.8	00.67
071	17.1	00.71
072	17.2	00.72
073	17.3	00.73
074	17.4	00.76
075	17.6	00.79
076	17.6	00.82
077	17.6	00.87
078	17.6	00.91
079	17.7	00.93
080	17.7	00.97
081	17.7	00.99
082	17.7	01.02
083	17.7	01.05
084	17.6	01.12
085	17.6	01.16
086	17.5	01.21
087	17.5	01.24
088	17.4	01.29
089	17.4	01.32
090	17.3	01.37
091	17.1	01.44
092	17.0	01.50
093	16.9	01.56
094	16.8	01.62
095	16.6	01.65
096	16.5	01.69
097	16.4	01.75
098	16.1	01.83
099	16.0	01.88
100	15.8	01.96
101	15.6	01.99
102	15.5	02.04
103	15.1	02.11
104	14.7	02.21
105	14.4	02.26
106	13.9	02.35
