DATE & TIME:	Thu Feb 22 11:35:19 2024
TEST:		TENSILE
MATERIAL:	BRASS
NAME:		brass_first_try


Msr#	F(Kn)	dL(mm)

001	00.0	00.00
002	00.0	00.00
003	00.0	00.00
004	00.0	00.00
005	00.0	00.00
006	00.0	00.00
007	00.0	00.00
008	00.0	00.01
009	01.6	00.02
010	01.7	00.02
011	01.9	00.02
012	02.1	00.03
013	02.4	00.04
014	02.7	00.06
015	03.0	00.06
016	03.3	00.07
017	03.7	00.10
018	04.0	00.11
019	04.5	00.12
020	04.9	00.15
021	05.4	00.17
022	06.1	00.19
023	06.6	00.21
024	07.2	00.23
025	08.0	00.26
026	08.5	00.27
027	09.2	00.31
028	09.7	00.33
029	10.4	00.35
030	11.0	00.37
031	11.7	00.42
032	12.1	00.45
033	12.2	00.50
034	12.2	00.55
035	12.2	00.67
036	12.2	00.74
037	12.2	00.82
038	12.3	00.88
039	12.3	00.95
040	12.3	01.05
041	12.4	01.11
042	12.4	01.21
043	12.4	01.27
044	12.4	01.36
045	12.4	01.42
046	12.4	01.51
