DATE & TIME:	Thu Feb 22 18:03:04 2024
TEST:		TENSILE
MATERIAL:	ALUMINIUM
NAME:		alminium_first_try


Msr#	F(Kn)	dL(mm)

001	00.0	00.00
002	00.0	00.00
003	00.0	00.00
004	00.0	00.00
005	00.0	00.00
006	00.0	00.00
007	00.0	00.01
008	00.0	00.01
009	00.0	00.02
010	00.0	00.04
011	00.0	00.04
012	01.5	00.05
013	01.7	00.05
014	01.8	00.06
015	01.9	00.08
016	02.0	00.09
017	02.1	00.09
018	02.3	00.10
019	02.4	00.12
020	02.5	00.13
021	02.7	00.13
022	03.0	00.13
023	03.1	00.16
024	03.3	00.18
025	03.5	00.19
026	03.7	00.19
027	04.0	00.20
028	04.1	00.21
029	04.4	00.25
030	04.5	00.26
031	04.6	00.26
032	04.8	00.26
033	04.9	00.27
034	05.2	00.27
035	05.3	00.28
036	05.5	00.30
037	05.7	00.32
038	05.8	00.35
039	05.9	00.36
040	06.0	00.37
041	06.0	00.40
042	06.0	00.42
043	06.0	00.44
044	06.1	00.46
045	06.1	00.47
046	06.1	00.49
047	06.1	00.54
048	06.1	00.54
049	06.1	00.54
050	06.1	00.55
051	06.2	00.55
052	06.2	00.55
053	06.2	00.55
054	06.2	00.55
055	06.2	00.55
056	06.2	00.55
057	06.2	00.55
058	06.3	00.55
059	06.3	00.55
060	06.3	00.55
061	06.3	00.55
062	06.3	00.55
063	06.3	00.55
064	06.3	00.55
065	06.4	00.55
066	06.4	00.55
067	06.4	00.55
068	06.4	00.55
069	06.4	00.55
070	06.4	00.55
071	06.4	00.55
072	06.4	00.55
073	06.4	00.55
074	06.4	00.55
075	06.5	00.55
076	06.5	00.55
077	06.5	00.55
078	06.5	00.55
079	06.5	00.55
080	06.5	00.55
081	06.5	00.55
082	06.5	00.55
083	06.4	00.55
084	06.4	00.55
085	06.4	00.55
086	06.3	00.55
087	06.3	00.55
088	06.2	00.55
089	06.1	00.55
090	06.1	00.55
091	06.0	00.55
092	06.0	00.55
093	05.9	00.55
094	05.9	00.55
095	05.8	00.55
096	05.7	00.55
097	05.6	00.55
098	05.5	00.55
099	05.4	00.55
100	05.3	00.55
