DATE & TIME:	Mon Feb 26 14:09:35 2024
TEST:		TENSILE
MATERIAL:	ALUMINIUM
NAME:		aluminum


Msr#	F(Kn)	dL(mm)

001	00.0	00.00
002	00.0	00.00
003	00.0	00.00
004	00.0	00.00
005	00.0	00.00
006	00.0	00.00
007	00.0	00.00
008	01.5	00.00
009	01.6	00.00
010	01.6	00.00
011	01.7	00.00
012	01.7	00.00
013	01.8	00.01
014	01.9	00.01
015	01.9	00.01
016	02.0	00.02
017	02.1	00.02
018	02.1	00.02
019	02.2	00.02
020	02.3	00.02
021	02.4	00.03
022	02.5	00.03
023	02.6	00.03
024	02.8	00.03
025	02.9	00.04
026	03.0	00.05
027	03.1	00.05
028	03.2	00.05
029	03.3	00.05
030	03.5	00.05
031	03.6	00.07
032	03.8	00.08
033	03.9	00.09
034	04.0	00.09
035	04.1	00.09
036	04.2	00.09
037	04.3	00.09
038	04.4	00.09
039	04.5	00.09
040	04.7	00.11
041	05.0	00.13
042	05.2	00.14
043	05.2	00.14
044	05.4	00.14
045	05.6	00.14
046	05.7	00.14
047	05.8	00.15
048	06.1	00.17
049	06.4	00.20
050	06.6	00.21
051	06.7	00.23
052	06.8	00.24
053	06.9	00.26
054	07.0	00.28
055	07.1	00.32
056	07.1	00.37
057	07.1	00.42
058	07.1	00.46
059	07.1	00.49
060	07.1	00.51
061	07.1	00.55
062	07.1	00.56
063	07.2	00.58
064	07.2	00.62
065	07.2	00.68
066	07.2	00.72
067	07.1	00.76
068	07.2	00.78
069	07.2	00.82
070	07.2	00.84
071	07.3	00.86
072	07.3	00.89
073	07.3	00.95
074	07.3	00.98
075	07.3	01.04
076	07.3	01.07
077	07.3	01.10
078	07.3	01.13
079	07.3	01.16
080	07.3	01.17
081	07.4	01.22
082	07.4	01.26
083	07.3	01.31
084	07.3	01.36
085	07.4	01.39
086	07.4	01.42
087	07.4	01.42
088	07.5	01.42
089	07.4	01.42
090	07.4	01.42
091	07.3	01.42
092	07.3	01.42
093	07.3	01.42
094	07.3	01.42
095	07.2	01.42
096	07.1	01.42
097	07.0	01.42
098	06.9	01.42
099	06.9	01.42
100	06.8	01.42
101	06.8	01.42
102	06.8	01.42
103	06.7	01.42
104	06.6	01.42
105	06.5	01.42
106	06.4	01.42
107	06.3	01.42
108	06.2	01.42
109	06.2	01.42
110	05.7	01.42
