DATE & TIME:	Mon Feb 26 14:48:51 2024
TEST:		TENSILE
MATERIAL:	STEEL
NAME:		steel01


Msr#	F(Kn)	dL(mm)

001	00.0	00.00
002	00.0	00.00
003	00.0	00.00
004	00.0	00.00
005	01.6	00.01
006	01.7	00.01
007	01.9	00.03
008	02.1	00.03
009	02.4	00.04
010	02.7	00.02
011	03.0	00.03
012	03.4	00.03
013	03.7	00.03
014	04.1	00.04
015	04.6	00.04
016	04.9	00.04
017	05.6	00.06
018	06.1	00.07
019	06.7	00.07
020	07.2	00.10
021	07.7	00.12
022	08.5	00.13
023	08.9	00.13
024	09.3	00.14
025	09.8	00.18
026	10.2	00.20
027	10.5	00.20
028	10.7	00.20
029	11.2	00.21
030	11.4	00.22
031	11.6	00.22
032	11.8	00.22
033	12.1	00.23
034	12.2	00.25
035	12.4	00.26
036	12.6	00.27
037	12.7	00.29
038	12.8	00.30
039	12.8	00.30
040	12.8	00.31
041	12.9	00.31
042	12.9	00.31
043	13.0	00.31
044	13.1	00.31
045	13.1	00.31
046	13.1	00.31
047	13.2	00.31
048	13.2	00.31
049	13.2	00.31
050	13.3	00.31
051	13.3	00.31
052	13.4	00.31
053	13.4	00.31
054	13.4	00.32
055	13.5	00.32
056	13.5	00.32
057	13.6	00.33
058	13.6	00.33
059	13.6	00.33
060	13.7	00.33
061	13.7	00.33
062	13.8	00.33
063	13.8	00.33
064	13.9	00.34
065	13.9	00.34
066	13.9	00.34
067	14.0	00.34
068	14.0	00.34
069	14.1	00.34
070	14.1	00.34
071	14.1	00.34
072	14.2	00.34
073	14.2	00.34
074	14.3	00.34
075	14.4	00.34
076	14.4	00.34
077	14.4	00.34
078	14.5	00.35
079	14.6	00.35
080	14.7	00.37
081	14.7	00.38
082	14.8	00.38
083	14.8	00.39
084	15.0	00.40
085	15.0	00.41
086	15.0	00.41
087	15.1	00.42
088	15.1	00.42
089	15.1	00.42
090	15.2	00.43
091	15.2	00.43
092	15.3	00.43
093	15.3	00.44
094	15.3	00.44
095	15.3	00.44
096	15.4	00.45
097	15.4	00.45
098	15.5	00.46
099	15.5	00.46
100	15.5	00.46
101	15.6	00.46
102	15.7	00.46
103	15.7	00.46
104	15.7	00.46
105	15.8	00.46
106	15.9	00.46
107	16.0	00.47
108	16.0	00.47
109	16.1	00.48
110	16.2	00.48
111	16.3	00.49
112	16.3	00.50
113	16.3	00.50
114	16.4	00.50
115	16.5	00.50
116	16.5	00.51
117	16.5	00.51
118	16.5	00.51
119	16.6	00.51
120	16.6	00.52
121	16.7	00.52
122	16.7	00.53
123	16.7	00.54
124	16.8	00.55
125	16.8	00.56
126	16.9	00.58
127	17.0	00.59
128	17.0	00.60
129	17.1	00.62
130	17.1	00.63
131	17.2	00.64
132	17.2	00.65
133	17.2	00.66
134	17.1	00.66
135	17.2	00.66
136	17.2	00.66
137	17.2	00.66
138	17.3	00.67
139	17.3	00.68
140	17.4	00.69
141	17.4	00.69
142	17.4	00.70
143	17.4	00.70
144	17.4	00.71
145	17.5	00.72
146	17.4	00.72
147	17.4	00.73
148	17.4	00.73
149	17.3	00.73
150	17.4	00.73
151	17.4	00.74
152	17.5	00.74
153	17.5	00.75
154	17.5	00.75
155	17.6	00.77
156	17.7	00.79
157	17.6	00.82
158	17.6	00.84
159	17.6	00.85
160	17.6	00.87
161	17.6	00.89
162	17.6	00.91
163	17.6	00.93
164	17.6	00.94
165	17.6	00.94
166	17.5	00.95
167	17.5	00.95
168	17.4	00.96
169	17.5	00.96
170	17.5	00.97
171	17.6	00.98
172	17.6	01.00
173	17.5	01.00
174	17.5	01.01
175	17.5	01.02
176	17.5	01.02
177	17.5	01.02
178	17.4	01.03
179	17.4	01.04
180	17.4	01.04
181	17.4	01.04
182	17.4	01.05
183	17.4	01.05
184	17.4	01.06
185	17.4	01.08
186	17.4	01.09
187	17.4	01.11
188	17.4	01.12
189	17.4	01.15
190	17.4	01.18
191	17.4	01.21
192	17.3	01.23
193	17.3	01.25
194	17.2	01.26
195	17.2	01.26
196	17.2	01.27
197	17.3	01.29
198	17.2	01.32
199	17.1	01.35
200	17.0	01.36
201	16.9	01.38
202	16.9	01.41
203	16.9	01.44
204	16.9	01.49
205	16.8	01.55
206	16.6	01.59
207	16.5	01.61
208	16.5	01.64
209	16.4	01.67
210	16.3	01.69
211	16.2	01.72
212	16.1	01.75
213	16.0	01.82
214	15.8	01.89
215	15.7	01.94
216	15.5	01.97
217	15.4	02.01
218	15.2	02.03
219	15.0	02.06
220	14.9	02.07
221	14.8	02.09
222	14.8	02.10
223	14.7	02.11
224	14.6	02.14
225	14.6	02.17
226	14.4	02.23
227	14.1	02.29
228	13.8	02.34
229	13.5	02.35
