DATE & TIME:	Mon Feb 26 14:43:32 2024
TEST:		TENSILE
MATERIAL:	STEEL
NAME:		s2


Msr#	F(Kn)	dL(mm)

001	00.0	00.28
002	00.0	00.28
003	00.0	00.28
004	00.0	00.28
005	00.0	00.28
006	00.0	00.28
007	00.0	00.28
008	00.0	00.28
009	00.0	00.28
010	00.0	00.28
011	00.0	00.28
012	00.0	00.28
013	00.0	00.28
014	00.0	00.28
015	00.0	00.28
016	00.0	00.28
017	00.0	00.28
018	00.0	00.28
019	00.0	00.28
020	00.0	00.28
021	00.0	00.28
022	00.0	00.28
023	00.0	00.29
024	00.0	00.29
025	00.0	00.30
026	01.6	00.30
027	01.8	00.30
028	02.0	00.31
029	02.2	00.31
030	02.5	00.32
031	02.8	00.33
032	03.1	00.33
033	03.3	00.35
034	03.7	00.35
035	04.1	00.35
036	04.6	00.38
037	05.0	00.39
038	05.7	00.39
039	06.3	00.41
040	06.8	00.43
041	07.3	00.44
042	08.0	00.45
043	08.9	00.47
044	09.5	00.50
045	10.4	00.52
046	10.8	00.53
047	11.2	00.53
048	11.7	00.55
049	12.4	00.59
050	13.0	00.60
051	13.6	00.61
052	14.3	00.62
053	14.8	00.63
054	15.9	00.70
055	16.4	00.71
056	17.3	00.75
057	17.3	00.77
058	17.3	00.87
059	17.3	00.95
060	17.4	00.99
061	17.3	01.04
062	17.2	01.08
063	17.2	01.19
064	17.1	01.24
065	17.1	01.28
066	17.0	01.32
067	16.9	01.36
068	16.8	01.40
069	16.7	01.52
070	16.5	01.57
071	16.5	01.59
072	16.4	01.63
073	16.3	01.67
074	16.2	01.70
075	16.0	01.71
076	16.0	01.72
077	16.1	01.72
078	15.8	01.72
079	15.7	01.72
080	15.7	01.72
081	15.4	01.72
082	15.2	01.72
083	15.0	01.72
084	14.8	01.72
085	14.5	01.72
086	14.2	01.72
087	13.8	01.72
088	13.7	01.72
089	13.1	01.72
090	12.5	01.72
